 ID-EVENTO;TITULO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;FECHA;FECHA-FIN;HORA;CONTENT-URL;NOMBRE-INSTALACION;ACCESIBILIDAD-INSTALACION;CLASE-VIAL-INSTALACION;NOMBRE-VIA-INSTALACION;NUM-INSTALACION;DISTRITO-INSTALACION;BARRIO-INSTALACION;CODIGO-POSTAL-INSTALACION;COORDENADA-X;COORDENADA-Y;TIPO
000012271801;Actividades en el centro juvenil 'Carabanchel Alto'. Febrero 2024;1;1;L,M,X,J,V,S,D;2024-02-01 00:00:00.0;2024-02-29 23:59:00.0;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8fdc0b8d46a5d810VgnVCM2000001f4a900aRCRD;Centro Juvenil Carabanchel Alto;1;CALLE;ALFONSO FERNANDEZ;23;CARABANCHEL;BUENAVISTA;28044;435861;4468746;
000012271790;Actividades en el centro juvenil 'Chamberí'. Febrero 2024;1;1;L,M,X,J,V,S,D;2024-02-01 00:00:00.0;2024-02-29 23:59:00.0;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7afb0b8d46a5d810VgnVCM2000001f4a900aRCRD;Centro Juvenil Chamberí;1;CALLE;RAIMUNDO FERNANDEZ VILLAVERDE;2;CHAMBERI;RIOS ROSAS;28003;440346;4477568;/contenido/actividades/CursosTalleres/Arte
000012271937;Actividades en el centro juvenil 'El Aleph' (Villa de Vallecas). Febrero 2024;1;1;L,M,X,J,V,S,D;2024-02-01 00:00:00.0;2024-02-29 23:59:00.0;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=63310b8d46a5d810VgnVCM2000001f4a900aRCRD;Centro Juvenil El Aleph (Villa de Vallecas);1;CALLE;ZAZUAR;1;VILLA DE VALLECAS;SANTA EUGENIA;28031;448609;4470397;
000012271931;Actividades en el centro juvenil 'El Sitio de mi recreo' (Villa de Vallecas). Febrero 2024;1;1;L,M,X,J,V,S,D;2024-02-01 00:00:00.0;2024-02-29 23:59:00.0;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e7d00b8d46a5d810VgnVCM2000001f4a900aRCRD;Centro Juvenil El Sitio de mi Recreo (Villa de Vallecas);1;CALLE;REAL DE ARGANDA;39;VILLA DE VALLECAS;SANTA EUGENIA;28031;447634;4470066;/contenido/actividades/ProgramacionDestacadaAgendaCultura
000012271896;Actividades en el centro juvenil 'Hontalbilla' (Fuencarral - El Pardo). Febrero 2024;1;1;L,M,X,J,V,S,D;2024-02-01 00:00:00.0;2024-02-29 23:59:00.0;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6a400b8d46a5d810VgnVCM2000001f4a900aRCRD;Centro Juvenil Hontalbilla (Fuencarral - El Pardo);0;CALLE;HONTALBILLA;10;FUENCARRAL-EL PARDO;VALVERDE;28034;441474;4482632;
000012272855;Actividades en el centro juvenil 'Pipo Velasco'. Febrero 2024.;1;1;L,M,X,J,V,S,D;2024-02-01 00:00:00.0;2024-02-29 23:59:00.0;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1e8a4b7e6ee5d810VgnVCM2000001f4a900aRCRD;Centro Juvenil Pipo Velasco (Usera);1;CALLE;AVENA;5;USERA;ZOFIO;28026;439248;4469889;/contenido/actividades/DanzaBaile/FolcloreEtnica
000012271570;Actividades en el centro juvenil 'Tetuán Punto Joven'. Febrero 2024;1;1;L,M,X,J,V,S,D;2024-02-01 00:00:00.0;2024-02-29 23:59:00.0;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a3859e88be95d810VgnVCM1000001d4a900aRCRD;Centro Juvenil Tetuán Punto Joven;0;CALLE;DULCINEA;4;TETUAN;CUATRO CAMINOS;28020;440651;4477630;
000012130154;Actividades mensuales de los centros de mayores del distrito Centro;0;1;L,M,X,J,V;2024-01-25 00:00:00.0;2024-02-29 23:59:00.0;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b8d69bd86cd1b810VgnVCM2000001f4a900aRCRD;;;;;;;;;;;
000012177480;Actividades mensuales de los centros de mayores del distrito Hortaleza;0;1;L,M,X,J,V;2023-11-21 00:00:00.0;2024-03-01 23:59:00.0;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=315479485bdeb810VgnVCM1000001d4a900aRCRD;;;;;;;;;;;
000012263426;Actividades mensuales de los centros de mayores del distrito Vicálvaro;0;1;L,M,X,J,V;2024-01-23 00:00:00.0;2024-03-01 23:59:00.0;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1454a9913813d810VgnVCM1000001d4a900aRCRD;;;;;;;;;;;
000012255862;Actuación Infantil: `El Mejor Regalo´;1;0;;2024-02-09 00:00:00.0;2024-02-09 23:59:00.0;18:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d394712b9b61d810VgnVCM2000001f4a900aRCRD;Centro Sociocultural Bohemios (Villaverde);1;CALLE;LOS BOHEMIOS;1;VILLAVERDE;LOS ANGELES;28041;441066;4467547;/contenido/actividades/TeatroPerformance
000012263799;Actuación Infantil: `Viva el Carnaval´;1;0;;2024-02-23 00:00:00.0;2024-02-23 23:59:00.0;18:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=66d645822a53d810VgnVCM2000001f4a900aRCRD;Centro Sociocultural Ágata (Villaverde);1;CALLE;DOCTOR MARTIN AREVALO;2;VILLAVERDE;SAN ANDRES;28021;442001;4471735;/contenido/actividades/TeatroPerformance
000012277484;Actuación: Improrrisas;1;0;;2024-02-09 00:00:00.0;2024-02-09 23:59:00.0;17:45;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ebfa58111b96d810VgnVCM1000001d4a900aRCRD;Auditorio al aire libre Berlín;1;CALLE;SAN ERNESTO;10;CHAMARTIN;CIUDAD JARDIN;28002;442714;4477836;/contenido/actividades/FiestasCarnavales
000012266415;Al rojo vivo;0;0;;2024-02-14 00:00:00.0;2024-02-14 23:59:00.0;20:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bad193d324d3d810VgnVCM1000001d4a900aRCRD;Cineteca Madrid;1;PLAZA;LEGAZPI;8;ARGANZUELA;CHOPERA;28045;440946;4471422;/contenido/actividades/ProgramacionDestacadaAgendaCultura
000012281441;Al rojo vivo;0;0;;2024-02-14 00:00:00.0;2024-02-14 23:59:00.0;20:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=82a36f760f78d810VgnVCM2000001f4a900aRCRD;Cineteca Madrid;1;PLAZA;LEGAZPI;8;ARGANZUELA;CHOPERA;28045;440946;4471422;/contenido/actividades/CineActividadesAudiovisuales
000012279229;Al Tran Tran  Trovadores Urbanos;1;0;;2024-02-24 00:00:00.0;2024-02-24 00:00:00.0;0:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=950aae30de97d810VgnVCM2000001f4a900aRCRD;Centro Cultural Príncipe de Asturias (Ciudad Lineal);1,5,6;CALLE;HERMANOS GARCIA NOBLEJAS;14;CIUDAD LINEAL;PUEBLO NUEVO;28037;445948;4476395;/contenido/actividades/Musica
000012276459;Aladdin;0;0;;2024-02-25 00:00:00.0;2024-02-25 23:59:00.0;12:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=03efe7edb646d810VgnVCM1000001d4a900aRCRD;Cineteca Madrid;1;PLAZA;LEGAZPI;8;ARGANZUELA;CHOPERA;28045;440946;4471422;/contenido/actividades/ProgramacionDestacadaAgendaCultura
000012226938;Alegría fría;1;1;L,M,X,J,V,S,D;2024-01-27 00:00:00.0;2024-02-18 23:59:00.0;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6cbaaa2b2eb8c810VgnVCM1000001d4a900aRCRD;Centro Cultural Emilia Pardo Bazán (Salamanca);1;CALLE;GOYA;1;SALAMANCA;RECOLETOS;28001;441502;4475253;/contenido/actividades/Exposiciones
000012258034;Alemania;0;1;L,M,X,J,V,S,D;2024-02-08 00:00:00.0;2024-02-11 23:59:00.0;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8ae492b4ec71d810VgnVCM1000001d4a900aRCRD;Cineteca Madrid;1;PLAZA;LEGAZPI;8;ARGANZUELA;CHOPERA;28045;440946;4471422;/contenido/actividades/ProgramacionDestacadaAgendaCultura
000012266458;Aletas;1;0;;2024-02-18 00:00:00.0;2024-02-18 23:59:00.0;12:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=319393d324d3d810VgnVCM1000001d4a900aRCRD;Centro Cultural Fernando Lázaro Carreter (Carabanchel);1;CALLE;VERDAD;29;CARABANCHEL;OPAÑEL;28019;439136;4471474;/contenido/actividades/TeatroPerformance
000012257937;Alfabetización Digital para Personas Mayores: ¡Reconectados!;1;0;;2024-02-14 00:00:00.0;2024-02-14 23:59:00.0;11:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fecad6299f71d810VgnVCM2000001f4a900aRCRD;Centro Sociocultural Bohemios (Villaverde);1;CALLE;LOS BOHEMIOS;1;VILLAVERDE;LOS ANGELES;28041;441066;4467547;/contenido/actividades/CursosTalleres/CapacitacionDigital
000012263131;Alma Flamenca;1;0;;2024-02-10 00:00:00.0;2024-02-10 23:59:00.0;19:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=82aabaf15a13d810VgnVCM2000001f4a900aRCRD;Centro Cultural Eduardo Úrculo (Tetuán);1,6;PLAZA;DONOSO;5;TETUAN;ALMENARA;28029;440862;4480048;/contenido/actividades/DanzaBaile
000012278863;Almavera (sonata para violín y títeres);0;0;;2024-02-10 00:00:00.0;2024-02-10 23:59:00.0;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a0f991062297d810VgnVCM1000001d4a900aRCRD;Matadero Madrid;1;PLAZA;LEGAZPI;8;ARGANZUELA;CHOPERA;28045;440946;4471422;/contenido/actividades/FiestasCarnavales
000012256031;Alokaito - Kaito;1;0;;2024-02-11 00:00:00.0;2024-02-11 23:59:00.0;12:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f109a009a571d810VgnVCM1000001d4a900aRCRD;Centro Sociocultural Miguel de Cervantes (San Blas - Canillejas);1;CALLE;ALIAGA;5;SAN BLAS-CANILLEJAS;CANILLEJAS;28022;448148;4476402;/contenido/actividades/CircoMagia
000012234932;Alter ego;0;1;J,V,S;2024-04-25 00:00:00.0;2024-04-27 23:59:00.0;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=60213f8b220bc810VgnVCM1000001d4a900aRCRD;Teatro Español;1,6;CALLE;PRINCIPE;25;CENTRO;CORTES;28012;440597;4474036;/contenido/actividades/DanzaBaile
000012279241;Amor Sin Valentín;1;0;;2024-02-14 00:00:00.0;2024-02-14 23:59:00.0;17:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b9a7e9692597d810VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal Francisco Ibáñez (Chamartín);1;CALLE;MANTUANO;51;CHAMARTIN;CIUDAD JARDIN;28002;442766;4477922;/contenido/actividades/ConferenciasColoquios
000012094733;Angélica Lidell / Atra Bilis 'VUDÚ (3318) Blixen';0;1;L,M,X,J,V,S,D;2024-02-10 00:00:00.0;2024-02-11 23:59:00.0;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4aabf1af7e38a810VgnVCM1000001d4a900aRCRD;Centro de Cultura Contemporánea Conde Duque;1;CALLE;CONDE DUQUE;9;CENTRO;UNIVERSIDAD;28015;439723;4475438;/contenido/actividades/ProgramacionDestacadaAgendaCultura
000012265629;Annette;0;0;;2024-02-20 00:00:00.0;2024-02-20 23:59:00.0;19:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a5e8240ad5b3d810VgnVCM1000001d4a900aRCRD;Cineteca Madrid;1;PLAZA;LEGAZPI;8;ARGANZUELA;CHOPERA;28045;440946;4471422;/contenido/actividades/ProgramacionDestacadaAgendaCultura
000012262355;Antonio, me aburro;1;0;;2024-02-09 00:00:00.0;2024-02-09 23:59:00.0;19:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9090e9760c12d810VgnVCM1000001d4a900aRCRD;Centro Cultural el Madroño (Vicálvaro);1;CALLE;VILLARDONDIEGO;36;VICALVARO;CASCO H.VICALVARO;28032;448357;4472920;/contenido/actividades/TeatroPerformance
000012271591;Año Nuevo Chino 2024;1;1;L,M,X,J,V,S,D;2024-02-10 00:00:00.0;2024-02-29 23:59:00.0;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=24e3a9bdbd95d810VgnVCM2000001f4a900aRCRD;;;;;;;;;;;/contenido/actividades/Fiestas
000012264010;Aperitivo con científicas;1;0;;2024-02-10 00:00:00.0;2024-02-10 23:59:00.0;11:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7001a1420263d810VgnVCM1000001d4a900aRCRD;Centro de Educación Ambiental de Dehesa de la Villa;1;PARQUE;DEHESA DE LA VILLA;0;MONCLOA-ARAVACA;;28039;439102;4478967;/contenido/actividades/CuentacuentosTiteresMarionetas
000012225328;Aprende a identificar las mariposas de Madrid;1;0;;2024-03-15 00:00:00.0;2024-03-15 00:00:00.0;0:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fc204c332128c810VgnVCM2000001f4a900aRCRD;Centro de Educación Ambiental de Casa de Campo;1;PARQUE;CASA DE CAMPO (JUNTO AL EMBARCADERO DEL LAGO);;MONCLOA-ARAVACA;CASA DE CAMPO;28011;437990;4474399;/contenido/actividades/CursosTalleres
000012274325;Aquí no hay quien muera;1;0;;2024-02-23 00:00:00.0;2024-02-23 23:59:00.0;19:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6b8b1c0c69f5d810VgnVCM2000001f4a900aRCRD;Centro Cultural José Luis Sampedro (Latina);1;CALLE;CASTROSERNA;4;LATINA;LUCERO;28047;436432;4472601;/contenido/actividades/TeatroPerformance
000012265105;Aquí no paga nadie;1;0;;2024-02-23 00:00:00.0;2024-02-23 23:59:00.0;19:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fd6c987d33a3d810VgnVCM2000001f4a900aRCRD;Centro Cultural Eduardo Úrculo (Tetuán);1,6;PLAZA;DONOSO;5;TETUAN;ALMENARA;28029;440862;4480048;/contenido/actividades/TeatroPerformance
000012265148;Aquí y Ahora;0;1;M,X,J,V,S,D;2024-02-29 00:00:00.0;2024-03-30 23:59:00.0;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=94891cf657a3d810VgnVCM1000001d4a900aRCRD;Matadero Madrid;1;PLAZA;LEGAZPI;8;ARGANZUELA;CHOPERA;28045;440946;4471422;
000012226114;Árboles en la ciudad de Madrid: Entornos saludables;1;1;X,J,V,S,D;2024-01-03 00:00:00.0;2024-03-31 23:59:00.0;10:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=dc032dc82478c810VgnVCM2000001f4a900aRCRD;Centro de Educación Ambiental de Casa de Campo;1;PARQUE;CASA DE CAMPO (JUNTO AL EMBARCADERO DEL LAGO);;MONCLOA-ARAVACA;CASA DE CAMPO;28011;437990;4474399;/contenido/actividades/Exposiciones
000011970764;Árboles exóticos de El Retiro;1;0;;2024-03-21 00:00:00.0;2024-03-21 23:59:00.0;11:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fb931c74ad227810VgnVCM1000001d4a900aRCRD;Centro de Información y Educación Ambiental El Huerto de El Retiro;1;PASEO;FERNAN NUÑEZ;2;RETIRO;LOS JERONIMOS;28009;441779;4473428;
000012225163;Árboles notables del Vivero;1;0;;2024-03-20 00:00:00.0;2024-03-20 00:00:00.0;0:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=14e979ad4e18c810VgnVCM2000001f4a900aRCRD;Centro de Educación Ambiental de Casa de Campo;1;PARQUE;CASA DE CAMPO (JUNTO AL EMBARCADERO DEL LAGO);;MONCLOA-ARAVACA;CASA DE CAMPO;28011;437990;4474399;/contenido/actividades/ExcursionesItinerariosVisitas
000012039159;Árboles singulares de la Casa de Campo;1;0;;2024-03-17 00:00:00.0;2024-03-17 00:00:00.0;0:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f5a5099c7c2d8810VgnVCM2000001f4a900aRCRD;Centro de Educación Ambiental de Casa de Campo;1;PARQUE;CASA DE CAMPO (JUNTO AL EMBARCADERO DEL LAGO);;MONCLOA-ARAVACA;CASA DE CAMPO;28011;437990;4474399;
000012042044;Archipiélago de los desastres;0;1;J,V,S,D;2024-05-02 00:00:00.0;2024-05-05 23:59:00.0;19:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=929432617b2e8810VgnVCM1000001d4a900aRCRD;Teatro Español;1,6;CALLE;PRINCIPE;25;CENTRO;CORTES;28012;440597;4474036;/contenido/actividades/DanzaBaile
000012263043;Arigato. Cuento que te canto;1;0;;2024-02-17 00:00:00.0;2024-02-17 23:59:00.0;18:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=600eb0130313d810VgnVCM2000001f4a900aRCRD;Centro Cultural San Juan Bautista (Ciudad Lineal);1;CALLE;SAN NEMESIO;4;CIUDAD LINEAL;SAN JUAN BAUTISTA;28043;444202;4478162;/contenido/actividades/Musica
000012258059;Arsénico por compasión;1;0;;2024-02-09 00:00:00.0;2024-02-09 23:59:00.0;19:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=917592b4ec71d810VgnVCM1000001d4a900aRCRD;Centro Cultural Antonio Machado (San Blas - Canillejas);1;CALLE;SAN ROMAN DEL VALLE;8;SAN BLAS-CANILLEJAS;ARCOS;28037;447255;4474591;/contenido/actividades/TeatroPerformance
000012277007;Arte y tiempo;1;1;L,M,X,J,V;2024-03-04 00:00:00.0;2024-03-28 23:59:00.0;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=50b68851ed46d810VgnVCM2000001f4a900aRCRD;Centro Cultural Usera 1;1;AVENIDA;RAFAELA YBARRA;49;USERA;PRADOLONGO;28026;439635;4470301;/contenido/actividades/Exposiciones
000012128952;Artrics - Laboratorio de Creación 2023/24;1;1;L,M,X,J,V,S,D;2023-10-01 00:00:00.0;2024-07-31 23:59:00.0;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=07d734a18291b810VgnVCM1000001d4a900aRCRD;;;;;;;;;;;/contenido/actividades/TeatroPerformance
000012227053;Asanas, la milenaria búsqueda del bienestar;1;1;L,M,X,J,V,S,D;2024-01-16 00:00:00.0;2024-04-01 23:59:00.0;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a7ecaa2b2eb8c810VgnVCM1000001d4a900aRCRD;Centro Cultural Emilia Pardo Bazán (Salamanca);1;CALLE;GOYA;1;SALAMANCA;RECOLETOS;28001;441502;4475253;/contenido/actividades/Exposiciones
000012273572;Audición de música clásica;1;0;;2024-02-17 00:00:00.0;2024-02-17 23:59:00.0;12:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1c9b283107f5d810VgnVCM2000001f4a900aRCRD;Centro Cultural Sara Montiel (Latina);1;CARRETERA;BOADILLA DEL MONTE;40;LATINA;CAMPAMENTO;28024;434222;4472418;/contenido/actividades/Musica
