"place"
"PZ LUCA DE TENA 9"
"CL RAFAEL CALVO 42"
"PZ REPUBLICA ARGENTINA 3"
"CL ALC. SAINZ DE BARANDA 36"
"CL DON RAMON DE LA CRUZ 36"
"CL VILLANUEVA 42"
"CL PEDRO DE VALDIVIA 24"
"CL JOSE ABASCAL 49"
"CL GALILEO 77"
"CL ACADEMIA 2"
"CL INFANTA MARIA TERESA 19"
"CL APODACA 5"
"CL SAN NAZARIO 4"
"PO IMPERIAL 6"
"CL CARLOTA ONEILL 40"
"CL RIBERA DEL MANZANARES 157"
"CL VICTOR ANDRES BELAUNDE 23"
"CL MIRA EL SOL 25"
"CL JOAQUIN MARIA LOPEZ 46"
"CL TORRELAGUNA 46"
"PZ DOCTOR LAGUNA 11"
"CL ALC. SAINZ DE BARANDA 11"
"PO CASTELLANA 210"
"CL DIVINO VALLES 26"
"CL CANILLAS 57"
"CL PADRE RUBIO 92"
"CL NUÑEZ DE BALBOA 61"
"AGUSTIN DE FOXA, 40"
"CL FERNANDEZ DE LA HOZ 36"
"CL REYES 7"
"CL REINA MERCEDES 26"
"CL LOPEZ DE HOYOS 301"
"CL JUAN ESPLANDIU 2A"
"PO CASTELLANA 11"
"CL PASTOR 1"
"RO ATOCHA 25"
"JERONIMO DE LA QUINTANA 4"
"CL FERNANDEZ DE LOS RIOS 90"
"CL JOSE BARDASANO BAOS 1"
"CL RODRIGUEZ SAN PEDRO 8"
"RO SEGOVIA 2M"
"CL HERMOSILLA 61"
"CL CARTAGENA 29"
"CL PEDRO MUGURUZA 3"
"CL MANTUANO 20"
"CL DOCTOR GOMEZ ULLA 12"
"CL DOCTOR CASTELO 51"
"CL OLITE 27"
"CL CARTAGENA 40"
"CL ALONSO HEREDIA 1"
"SAN BUENAVENTURA, 3"
"CL SEGOVIA 69"
"CJAL. BENITO MTIN. LOZANO 12A"
"PZ REPUBLICA ARGENTINA 7"
"CL BEATRIZ DE BOBADILLA 1"
"PO CAMOENS 4"
"PZ REPUBLICA DEL ECUADOR 6"
"CL SANTA ENGRACIA 20"
"HIEDRA, 20"
"AV TOREROS 9"
"CL MAIQUEZ 18"
"CL MARQUES DE TORROJA 5"
"CL ANDRES MELLADO 59"
"CL BOIX Y MORER 6"
"CL AGUSTIN DURAN 32"
"CL VELAZQUEZ 147"
"PO CASTELLANA 248"
"CL HORCAJUELO 5"
"PO CASTELLANA 120"
"CL RAFAEL CALVO 16"
"CL SANTA ENGRACIA 125"
"CL FEDERICO GARCIA SANCHIZ 1"
"CL FERNANDO EL SANTO 9"
"CL NUÑEZ DE BALBOA 76"
"AV CONCHA ESPINA 32"
"CL HERMOSILLA 112"
"CL MEDIODIA GRANDE 20"
"CL AYALA 62"
"CL HILARION ESLAVA 13"
"CL JAEN 15"
"CL SIL 5"
"CL SAN BRUNO 7"
"CL TORRES MIRANDA 8"
"CL PALAFOX 15"
"CL FELIPE IV 1"
"PO CHOPERA 13"
"CL FERNANDO EL CATOLICO 13"
"CL QUINTANA 1"
"CL CAMPILLO 28"
"CL FEDERICO MAYO 5"
"CL CASTELLO 63"
"CL JERONIMA LLORENTE 68"
"ROBERTO DOMINGO, 1 A"
"CL ROMERO GIRON 9"
"AV ASTURIAS 15"
"PZ LEALTAD 2"
"CL ERESMA 1 A"
"CL VALENZUELA 12"
"PZ INDEPENDENCIA, 3"
"CL MONTESA 24"
"PO MORET 5"
"PO CASTELLANA 185"
"CL NARCISO SERRA 2"
"CL MATAELPINO 2"
"PO PONTONES 4"
"AV PABLO IGLESIAS 9"
"CL CLAUDIO COELLO 68"
"CL GENERAL PARDIÑAS 69"
"CL KENTIA 4"
"CL MAUDES 11"
"CL PALENCIA 3"
"CL ANDRES MELLADO 52"
"CL IRUN 17"
"CL CARACAS 12"
"CL POETA JOAN MARAGALL 47"
"CL CLAUDIO COELLO 97"
"PO CASTELLANA 89"
"CL MAIQUEZ 40"
"PO CASTELLANA 298"
"CL ANTONIO GOMEZ GALIANA 5"
"CL TENERIFE 43"
"AV MONFORTE DE LEMOS 60"
"CL AMPARO 98"
"CL PORFIRIO 11"
"CL HIERBABUENA 8"
"CL LAGASCA 43"
"GONZALO DE CORDOBA, 22"
"CL BAYONA 2"
"CL LUIS VELEZ DE GUEVARA 3"
"CL VELAZQUEZ 98"
"CL GENERAL DIAZ PORLIER 45"
"CL ANDALUCIA 4"
"CL FERROCARRIL 29"
"CL DOCTOR CASTELO 49"
"CL CONDE DE LA CIMERA 1"
"PO ESPERANZA 37"
"CL ROSALEDA 2"
"CL CONDESA DE VENADITO 15"
"AV CIUDAD DE BARCELONA, 2"
"CL MANUEL CALDEIRO 18"
"PZ CASTILLA, 6"
"CL LOPEZ DE HOYOS 21"
"AV BURGOS 33"
"CL FERMIN CABALLERO 26"
"CL PROFESOR WAKSMAN 8"
"PO PERALES 3"
"JUAN ALVAREZ MENDIZABAL 40"
"PZ DOCTOR LAGUNA 10"
"PO CASTELLANA, 77"
"CL TERUEL 1"
"CL NUÑEZ DE BALBOA 12"
"CL VICTOR ANDRES BELAUNDE 7"
"CL PADRE DAMIAN 23"
"PO PRADO 14"
"CL PROFESOR WAKSMAN 9"
"PO IMPERIAL 18"
"CL REDONDILLA 5"
"CL MARQUES DE CASA RIERA 1"
"GT FUENTIDUEÑAS 2"
"CL HERMANOS DE PABLO 9"
"CL ORENSE 34"
"CL SANCHEZ PACHECO 64"
"CL ORENSE 85"
"CL LINNEO 33A"
"CL MARQUES DE LEMA 13"
"CL CEUTA 23"
"CL ARIEL 7"
"CL JUAN MONTALVO 11"
"PO DE LA FLORIDA 18"
"CL MONTESA 32"
"PO CASTELLANA 128"
"CL FERRAZ 81"
"CL GENERAL IBAÑEZ DE IBERO 5"
"AV FILIPINAS 7"
"AV MENENDEZ PELAYO 43"
"CL JUAN DE MENA 10"
"PO SANTA MARIA CABEZA 15"
"ALBERTO AGUILERA, 26"
"CL GENERAL ARRANDO 38"
"RO ATOCHA 23"
"CL INFANTA MARIA TERESA 13"
"CL CARLOS MAURRAS 2"
"PO J. A. VALLEJO-NAJERA 49"
"CL FERMIN CABALLERO 2"
"VENTURA RODRIGUEZ, 1"
"GRAN VIA 32"
"CL COLOMBIA 38"
"CL LOPEZ DE HOYOS 94"
"CL CLARA DEL REY 26"
"CL ALMANSA 99"
"CL LOPEZ DE HOYOS 352"
"AV DAROCA 37"
"AV BAVIERA, 11"
"AV MEDITERRANEO 9"
"PO LA HABANA 34"
"CL MENDEZ ALVARO 74"
"CL GENOVA 19"
"CL SANTA SABINA 5"
"CL LARRA 12"
"CL EMBAJADORES 147"
"CL CARLOS LATORRE 3"
"CL PEZ AUSTRAL 4"
"CL MODESTO LAFUENTE 2"
"CL JORGE JUAN 57"
"CL VASCOS 20"
"CL DON RAMON DE LA CRUZ 50"
"ALCALA-CIBELES"
"CL LAGASCA 135"
"CL DON RAMON DE LA CRUZ 20"
"CL ALMANSA 89"
"CL IBIZA 41"
"CL EMBAJADORES 169"
"CL RUIZ PALACIOS 16"
"AV MENENDEZ PELAYO 10"
"CASTELLO, 98"
"CL GINZO DE LIMIA 22"
"CL NUESTRA SEÑORA DE LUJAN 13"
"CL ALBURQUERQUE 4"
"PZ MANUEL BECERRA 15"
"CL BATALLA DEL SALADO 47"
"CL HERREROS DE TEJADA 20"
"CL BATALLA DEL SALADO 25"
"CL BERNARDINO OBREGON 26"
"CL JESUS APRENDIZ 22"
"CL FRANCISCA MORENO 1"
"PO DELICIAS 102"
"CL ANTONIO ARIAS 13"
"CL RIBERA DE CURTIDORES 30"
"CL TELLEZ 30"
"PO LA HABANA 24"
"PO FLORIDA, 11"
"CL ZURBANO 10"
"PO PINTOR ROSALES 46"
"AV BONN 6"
"PZ ESPAÑA, 1"
"CL MORETO 10"
"CL JORGE JUAN 132"
